,ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y
60430,00529370eba518dc,xclick,/m/09b5t,1,0.2125,0.229375,0.524079,0.562795,1,0,0,0,0,0.215,0.2125,0.215,0.229375,0.524079,0.545798,0.562795,0.551464
60431,00529370eba518dc,xclick,/m/09b5t,1,0.355625,0.4,0.694051,0.796034,1,0,0,0,0,0.3825,0.355625,0.375625,0.4,0.694051,0.753541,0.796034,0.759207
60432,00529370eba518dc,xclick,/m/09b5t,1,0.529375,0.573125,0.596789,0.686497,1,0,0,0,0,0.53625,0.529375,0.54875,0.573125,0.596789,0.609065,0.686497,0.635505
60433,00529370eba518dc,xclick,/m/09b5t,1,0.575625,0.618125,0.643059,0.745987,1,0,0,0,0,0.581875,0.575625,0.60375,0.618125,0.643059,0.653447,0.745987,0.727101
60434,00529370eba518dc,xclick,/m/09b5t,1,0.671875,0.685,0.505194,0.562795,0,0,0,0,0,0.68,0.671875,0.67875,0.685,0.505194,0.562795,0.542021,0.547686
64581,005b4a8238c9b906,xclick,/m/09b5t,1,0.55,0.804,0.358667,0.766667,1,0,0,1,0,0.751,0.68,0.55,0.804,0.358667,0.766667,0.554667,0.444
70019,006679aa2ca8ff77,xclick,/m/09b5t,1,0.342969,0.530469,0.335287,0.697538,0,0,0,1,0,0.509375,0.342969,0.463281,0.530469,0.335287,0.481829,0.697538,0.385698
81074,0080feb6677af72b,xclick,/m/09b5t,1,0.224375,0.36,0.395,0.446667,1,0,0,1,0,0.269375,0.224375,0.36,0.266875,0.395,0.424167,0.406667,0.446667
81075,0080feb6677af72b,xclick,/m/09b5t,1,0.348125,0.418125,0.136667,0.274167,0,0,0,1,0,0.39625,0.348125,0.418125,0.36375,0.136667,0.174167,0.1575,0.274167
81076,0080feb6677af72b,xclick,/m/09b5t,1,0.430625,0.49125,0.124167,0.248333,0,0,0,1,0,0.47875,0.430625,0.49125,0.44875,0.124167,0.159167,0.141667,0.248333
81077,0080feb6677af72b,xclick,/m/09b5t,1,0.44375,0.509375,0.346667,0.4275,1,0,0,1,0,0.49125,0.44375,0.509375,0.4475,0.346667,0.4,0.358333,0.4275
81078,0080feb6677af72b,xclick,/m/09b5t,1,0.531875,0.5825,0.11,0.231667,0,0,0,1,0,0.58125,0.55375,0.531875,0.5825,0.11,0.231667,0.134167,0.135833
81079,0080feb6677af72b,xclick,/m/09b5t,1,0.60625,0.68,0.109167,0.230833,0,0,0,1,0,0.665625,0.609375,0.68,0.60625,0.109167,0.146667,0.14,0.230833
81080,0080feb6677af72b,xclick,/m/09b5t,1,0.623125,0.68375,0.3175,0.388333,1,0,0,1,0,0.649375,0.623125,0.68375,0.675,0.3175,0.353333,0.3225,0.388333
81081,0080feb6677af72b,xclick,/m/09b5t,1,0.71125,0.776875,0.114167,0.248333,0,0,0,1,0,0.764375,0.71125,0.776875,0.731875,0.114167,0.15,0.141667,0.248333
81082,0080feb6677af72b,xclick,/m/09b5t,1,0.738125,0.82875,0.435833,0.5225,1,0,0,1,0,0.82875,0.738125,0.815625,0.780625,0.435833,0.491667,0.479167,0.5225
81083,0080feb6677af72b,xclick,/m/09b5t,1,0.785,0.854375,0.131667,0.2675,0,0,0,1,0,0.844375,0.785,0.854375,0.7975,0.131667,0.160833,0.159167,0.2675
82512,0084f276393d2cc3,xclick,/m/09b5t,1,0.185,0.543125,0.407512,0.992488,0,0,0,0,0,0.42875,0.543125,0.39375,0.185,0.407512,0.539906,0.992488,0.806573
97963,00ad10bacf035759,xclick,/m/09b5t,1,0.1275,0.999375,0.0075,0.999167,0,1,0,0,0,0.36125,0.999375,0.81375,0.1275,0.0075,0.815833,0.999167,0.581667
103736,00bd0a9899bf13d6,xclick,/m/09b5t,1,0.124375,0.413125,0.364916,0.780488,1,0,0,0,0,0.31125,0.3075,0.124375,0.413125,0.364916,0.780488,0.635084,0.399625
103737,00bd0a9899bf13d6,xclick,/m/09b5t,1,0.12625,0.414375,0.350844,0.778612,1,0,0,0,0,0.278125,0.414375,0.318125,0.12625,0.350844,0.414634,0.778612,0.677298
103738,00bd0a9899bf13d6,xclick,/m/09b5t,1,0.146875,0.999375,0.225141,0.719512,1,1,1,0,0,0.41375,0.146875,0.99125,0.999375,0.225141,0.395872,0.719512,0.559099
105278,00c18a68080cfdf8,xclick,/m/09b5t,1,0.119844,0.84358,0.0375,0.81625,1,0,0,1,0,0.698054,0.119844,0.522179,0.84358,0.0375,0.5275,0.81625,0.20625
113554,00d979bb4a6db58b,xclick,/m/09b5t,1,0.255833,0.600833,0.0275,0.59375,1,0,0,0,0,0.380833,0.600833,0.255833,0.365,0.0275,0.3575,0.370625,0.59375
116047,00dfa7d3eb55cdf2,xclick,/m/09b5t,1,0.028125,0.801875,0.109756,0.999062,0,1,0,0,0,0.55125,0.028125,0.801875,0.674375,0.999062,0.587242,0.275797,0.109756
121227,00eeeb9233846b7c,xclick,/m/09b5t,1,0.134771,0.769991,0.13625,0.959375,0,0,0,0,0,0.530099,0.134771,0.769991,0.437556,0.13625,0.8775,0.874375,0.959375
123464,00f4f1332d2f459e,xclick,/m/09b5t,1,0.438125,0.856875,0.000833,0.963333,1,1,0,0,0,0.438125,0.856875,0.726875,0.658125,0.625,0.429167,0.000833,0.963333
125722,00fc8c1bd15fce8e,xclick,/m/09b5t,1,0.333125,0.3925,0.689167,0.761667,0,0,0,0,0,0.335625,0.333125,0.345,0.3925,0.689167,0.695,0.761667,0.713333
125723,00fc8c1bd15fce8e,xclick,/m/09b5t,1,0.526875,0.573125,0.675,0.7775,0,0,0,0,0,0.528125,0.5575,0.526875,0.573125,0.675,0.7775,0.715,0.718333
125724,00fc8c1bd15fce8e,xclick,/m/09b5t,1,0.595625,0.62625,0.7225,0.784167,0,0,0,0,0,0.599375,0.595625,0.609375,0.62625,0.7225,0.753333,0.784167,0.765
125725,00fc8c1bd15fce8e,xclick,/m/09b5t,1,0.601875,0.634375,0.624167,0.695,0,0,0,0,0,0.609375,0.601875,0.61875,0.634375,0.624167,0.66,0.695,0.6325
125726,00fc8c1bd15fce8e,xclick,/m/09b5t,1,0.758125,0.795625,0.748333,0.880833,0,0,0,0,0,0.786875,0.758125,0.77,0.795625,0.748333,0.825833,0.880833,0.813333
125822,00fcf7674619a18c,xclick,/m/09b5t,1,0.243125,0.68875,0.004686,0.984067,1,0,0,0,0,0.31125,0.243125,0.499375,0.68875,0.004686,0.027179,0.984067,0.207123
131088,010fbed48351676d,xclick,/m/09b5t,1,0.08819,0.809816,0.0,0.770625,0,0,0,1,0,0.521472,0.578221,0.08819,0.809816,0.0,0.770625,0.435625,0.30625
135386,011c0f70cee7c568,xclick,/m/09b5t,1,0.765,0.86375,0.757062,0.894539,0,0,0,1,0,0.86375,0.765,0.855,0.795,0.757062,0.815443,0.822976,0.894539
135830,011d980ae9abea77,xclick,/m/09b5t,1,0.05125,0.0975,0.388333,0.438333,0,0,0,0,0,0.0875,0.05125,0.085,0.0975,0.388333,0.4275,0.438333,0.414167
135831,011d980ae9abea77,xclick,/m/09b5t,1,0.071875,0.1725,0.724167,0.968333,0,0,0,0,0,0.10125,0.071875,0.153125,0.1725,0.724167,0.8325,0.968333,0.9475
135832,011d980ae9abea77,xclick,/m/09b5t,1,0.105625,0.13125,0.408333,0.451667,0,0,0,0,0,0.118125,0.105625,0.118125,0.13125,0.408333,0.436667,0.451667,0.434167
135833,011d980ae9abea77,xclick,/m/09b5t,1,0.16875,0.233125,0.520833,0.625833,0,0,0,0,0,0.1775,0.16875,0.190625,0.233125,0.520833,0.584167,0.625833,0.5675
135834,011d980ae9abea77,xclick,/m/09b5t,1,0.44625,0.490625,0.46,0.570833,0,0,0,0,0,0.4775,0.44625,0.463125,0.490625,0.46,0.51,0.570833,0.5325
135835,011d980ae9abea77,xclick,/m/09b5t,1,0.469375,0.536875,0.260833,0.310833,1,0,1,0,0,0.48125,0.469375,0.515,0.536875,0.260833,0.2725,0.310833,0.2775
135836,011d980ae9abea77,xclick,/m/09b5t,1,0.4825,0.508125,0.414167,0.4675,0,0,0,0,0,0.501875,0.4825,0.499375,0.508125,0.414167,0.430833,0.4675,0.430833
135837,011d980ae9abea77,xclick,/m/09b5t,1,0.51875,0.536875,0.3225,0.364167,0,0,0,0,0,0.52625,0.51875,0.5275,0.536875,0.3225,0.353333,0.364167,0.345
135838,011d980ae9abea77,xclick,/m/09b5t,1,0.545,0.634375,0.7325,0.966667,0,0,0,0,0,0.598125,0.545,0.634375,0.6075,0.7325,0.888333,0.895,0.966667
135839,011d980ae9abea77,xclick,/m/09b5t,1,0.79,0.890625,0.5325,0.675833,0,0,0,0,0,0.804375,0.79,0.846875,0.890625,0.5325,0.558333,0.675833,0.551667
135840,011d980ae9abea77,xclick,/m/09b5t,1,0.87125,0.98875,0.720833,0.944167,0,0,0,0,0,0.9775,0.87125,0.919375,0.98875,0.720833,0.806667,0.944167,0.834167
138479,012650589d4237d2,xclick,/m/09b5t,1,0.490625,0.999375,0.0,0.999059,0,1,0,1,0,0.78125,0.490625,0.615,0.999375,0.0,0.60207,0.999059,0.840075
138488,01265fe7ce2ee6ff,xclick,/m/09b5t,1,0.21375,0.494375,0.393058,0.702627,0,0,0,0,0,0.456875,0.494375,0.21375,0.31,0.399625,0.430582,0.393058,0.702627
138489,01265fe7ce2ee6ff,xclick,/m/09b5t,1,0.270625,0.44625,0.327392,0.467167,1,0,0,0,0,0.34625,0.270625,0.44625,0.39125,0.327392,0.395872,0.401501,0.467167
140913,012f947b95d444f5,xclick,/m/09b5t,1,0.220961,0.826201,0.176875,0.595625,1,0,0,1,0,0.596507,0.826201,0.534498,0.220961,0.176875,0.321875,0.595625,0.321875
154955,015be8b42633bbc1,xclick,/m/09b5t,1,0.076875,0.84375,0.0375,0.729167,0,0,0,0,0,0.26125,0.84375,0.503125,0.076875,0.0375,0.403333,0.729167,0.385833
155727,015e527097415aa2,xclick,/m/09b5t,1,0.35875,0.538125,0.397749,0.868668,0,0,0,0,0,0.504375,0.448125,0.35875,0.538125,0.397749,0.868668,0.569418,0.560038
166049,018052bf5212fc46,xclick,/m/09b5t,1,0.259916,0.395616,0.139535,0.496124,1,0,0,0,0,0.268267,0.259916,0.376827,0.395616,0.139535,0.234496,0.496124,0.410853
166050,018052bf5212fc46,xclick,/m/09b5t,1,0.352818,0.474948,0.001938,0.513566,0,0,0,0,0,0.392484,0.41858,0.352818,0.474948,0.001938,0.513566,0.317829,0.350775
169644,018ab9503bc5dade,xclick,/m/09b5t,1,0.410625,0.6425,0.405253,0.859287,1,0,0,0,0,0.495625,0.410625,0.51875,0.6425,0.405253,0.673546,0.859287,0.702627
170373,018d3cab1a09a80f,xclick,/m/09b5t,1,0.3025,0.73375,0.285178,0.999062,0,0,0,0,0,0.48625,0.3025,0.73375,0.574375,0.285178,0.851782,0.866792,0.999062
171920,0191fc13b7614846,xclick,/m/09b5t,1,0.11375,0.336875,0.543697,0.956303,0,0,0,0,0,0.291875,0.336875,0.27375,0.11375,0.543697,0.571429,0.956303,0.755462
171921,0191fc13b7614846,xclick,/m/09b5t,1,0.20625,0.433125,0.485714,0.836975,1,0,0,0,0,0.386875,0.20625,0.433125,0.36875,0.485714,0.657983,0.64958,0.836975
171922,0191fc13b7614846,xclick,/m/09b5t,1,0.42625,0.545625,0.471429,0.871429,0,0,0,0,0,0.46625,0.42625,0.545625,0.491875,0.471429,0.697479,0.690756,0.871429
177421,01a49dcf1fbad747,xclick,/m/09b5t,1,0.070833,0.218333,0.453333,0.570833,1,0,0,0,0,0.216667,0.070833,0.158333,0.218333,0.453333,0.545,0.570833,0.453333
177422,01a49dcf1fbad747,xclick,/m/09b5t,1,0.1125,0.7175,0.116667,0.700833,0,0,0,0,0,0.154167,0.1125,0.409167,0.7175,0.116667,0.164167,0.700833,0.403333
178989,01aa172662b5160c,xclick,/m/09b5t,1,0.365625,0.634375,0.2925,0.735833,0,0,0,0,0,0.440625,0.506875,0.365625,0.634375,0.2925,0.735833,0.5275,0.4
187696,01c9f9235365a654,xclick,/m/09b5t,1,0.0,0.32625,0.379167,0.999167,1,1,0,0,0,0.0,0.0,0.32625,0.039375,0.379167,0.56,0.9025,0.999167
187697,01c9f9235365a654,xclick,/m/09b5t,1,0.24125,0.41375,0.0575,0.661667,1,0,0,0,0,0.301875,0.24125,0.41375,0.3625,0.0575,0.124167,0.3325,0.661667
187698,01c9f9235365a654,xclick,/m/09b5t,1,0.314375,0.6725,0.215833,0.921667,1,0,0,0,0,0.393125,0.314375,0.6725,0.44125,0.215833,0.279167,0.606667,0.921667
187699,01c9f9235365a654,xclick,/m/09b5t,1,0.45125,0.780625,0.640833,0.999167,0,1,0,0,0,0.701875,0.45125,0.780625,0.7125,0.640833,0.999167,0.71,0.999167
187700,01c9f9235365a654,xclick,/m/09b5t,1,0.465625,0.728125,0.181667,0.479167,1,0,0,0,0,0.533125,0.465625,0.728125,0.5975,0.181667,0.338333,0.470833,0.479167
187701,01c9f9235365a654,xclick,/m/09b5t,1,0.570625,0.945,0.405,0.805,1,0,0,0,0,0.891875,0.588125,0.945,0.570625,0.405,0.730833,0.448333,0.805
187702,01c9f9235365a654,xclick,/m/09b5t,1,0.68,0.8375,0.236667,0.589167,1,0,0,0,0,0.770625,0.686875,0.8375,0.68,0.236667,0.520833,0.443333,0.589167
187703,01c9f9235365a654,xclick,/m/09b5t,1,0.72125,0.963125,0.624167,0.999167,1,1,0,0,0,0.844375,0.72125,0.963125,0.930625,0.624167,0.8875,0.999167,0.999167
187704,01c9f9235365a654,xclick,/m/09b5t,1,0.86125,0.999375,0.3825,0.570833,1,1,0,0,0,0.98,0.888125,0.999375,0.86125,0.3825,0.4,0.455,0.570833
187705,01c9f9235365a654,xclick,/m/09b5t,1,0.86375,0.999375,0.480833,0.8825,1,1,0,0,0,0.999375,0.86375,0.999375,0.87625,0.480833,0.5725,0.790833,0.8825
192610,01dbc10198d9699e,xclick,/m/09b5t,1,0.09375,0.442187,0.579687,0.975,1,0,0,1,0,0.15,0.09375,0.442187,0.2375,0.579687,0.767188,0.729688,0.975
192611,01dbc10198d9699e,xclick,/m/09b5t,1,0.520312,0.920313,0.054688,0.464063,1,0,0,1,0,0.595313,0.520312,0.920313,0.782813,0.054688,0.109375,0.2,0.464063
195709,01e5b958f4a86ed9,xclick,/m/09b5t,1,0.023333,0.903333,0.154176,0.914347,1,0,0,0,0,0.813333,0.433333,0.023333,0.903333,0.154176,0.914347,0.501071,0.239829
196673,01e9bce2485b1a84,activemil,/m/09b5t,1,0.675781,0.927734,0.595052,1.0,0,1,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
196674,01e9bce2485b1a84,xclick,/m/09b5t,1,0.0,0.999023,0.0,0.998698,1,1,1,0,0,0.142578,0.0,0.782227,0.999023,0.0,0.651042,0.998698,0.282552
196675,01e9bce2485b1a84,xclick,/m/09b5t,1,0.219727,0.467773,0.347656,0.949219,0,0,0,0,0,0.389648,0.467773,0.369141,0.219727,0.347656,0.480469,0.949219,0.723958
201399,01f9d9d8a9f60dcd,xclick,/m/09b5t,1,0.12375,0.999375,0.124167,0.999167,1,1,0,0,0,0.999375,0.81375,0.306875,0.12375,0.763333,0.999167,0.124167,0.2075
201400,01f9d9d8a9f60dcd,xclick,/m/09b5t,1,0.49,0.75625,0.0075,0.6375,1,0,0,0,0,0.693125,0.49,0.75625,0.691875,0.0075,0.388333,0.1,0.6375
201618,01fad18eb019cbe9,xclick,/m/09b5t,1,0.0,0.959862,0.086875,0.99125,0,0,0,0,0,0.896194,0.37301,0.0,0.959862,0.086875,0.99125,0.7925,0.228125
218608,023728180a4907a8,xclick,/m/09b5t,1,0.0,0.60875,0.205224,0.998134,0,1,0,0,0,0.43875,0.48,0.0,0.60875,0.205224,0.998134,0.886194,0.33209
219035,02392fe63d79dc3f,xclick,/m/09b5t,1,0.066667,0.31,0.551111,0.975556,1,0,0,0,0,0.23,0.235,0.31,0.066667,0.551111,0.975556,0.686667,0.744444
226214,025252c0bdae5bc0,xclick,/m/09b5t,1,0.213125,0.463125,0.1225,0.84,1,0,0,0,0,0.401875,0.213125,0.463125,0.23,0.1225,0.84,0.474167,0.5125
226215,025252c0bdae5bc0,xclick,/m/09b5t,1,0.63625,0.98875,0.0,0.405,1,1,0,0,0,0.94875,0.63625,0.98875,0.813125,0.0,0.213333,0.108333,0.405
237200,0278a0702bb46012,xclick,/m/09b5t,1,0.03625,0.540625,0.1325,0.793333,1,0,0,0,0,0.085625,0.03625,0.401875,0.540625,0.1325,0.219167,0.793333,0.328333
241555,0288b15f70d74b72,xclick,/m/09b5t,1,0.344286,0.925714,0.483832,0.998802,0,0,0,0,0,0.821429,0.925714,0.64,0.344286,0.483832,0.584431,0.998802,0.760479
248282,029f0f42d8cbd265,xclick,/m/09b5t,1,0.26375,0.585,0.3875,0.8125,0,0,0,0,0,0.52125,0.585,0.466875,0.26375,0.3875,0.469167,0.8125,0.440833
248283,029f0f42d8cbd265,xclick,/m/09b5t,1,0.5625,0.711875,0.219167,0.5375,1,0,0,0,0,0.585625,0.5625,0.700625,0.711875,0.219167,0.259167,0.5375,0.4725
263183,02d417e22b04005b,xclick,/m/09b5t,1,0.198125,0.615,0.416433,0.979458,0,0,0,0,0,0.581875,0.615,0.453125,0.198125,0.416433,0.552754,0.979458,0.920635
264072,02d7f54d58e59c40,xclick,/m/09b5t,1,0.3475,0.531875,0.354219,0.774436,1,0,0,0,0,0.500625,0.38875,0.3475,0.531875,0.354219,0.774436,0.609023,0.399332
264073,02d7f54d58e59c40,xclick,/m/09b5t,1,0.523125,0.7125,0.402673,0.88137,1,0,0,0,0,0.530625,0.523125,0.7125,0.616875,0.402673,0.618212,0.743525,0.88137
264660,02d9e3e6fa265615,xclick,/m/09b5t,1,0.093125,0.32125,0.016681,0.280234,1,0,0,0,0,0.141875,0.093125,0.32125,0.12375,0.016681,0.232694,0.18432,0.280234
264661,02d9e3e6fa265615,xclick,/m/09b5t,1,0.136875,0.378125,0.142619,0.363636,1,0,0,0,0,0.345625,0.136875,0.378125,0.294375,0.142619,0.310259,0.201001,0.363636
264662,02d9e3e6fa265615,xclick,/m/09b5t,1,0.466875,0.68625,0.537948,0.95246,0,0,0,0,0,0.564375,0.5825,0.466875,0.68625,0.537948,0.95246,0.709758,0.713094
264663,02d9e3e6fa265615,xclick,/m/09b5t,1,0.72,0.9175,0.628857,0.999166,0,1,0,0,0,0.813125,0.72,0.9175,0.75625,0.628857,0.816514,0.928274,0.999166
264664,02d9e3e6fa265615,xclick,/m/09b5t,1,0.741875,0.939375,0.588824,0.87156,1,0,0,0,0,0.780625,0.741875,0.939375,0.875,0.588824,0.618015,0.805671,0.87156
269626,02eab72fc3a820cc,xclick,/m/09b5t,1,0.105546,0.84347,0.152058,0.831341,0,0,0,0,0,0.726297,0.670841,0.84347,0.105546,0.152058,0.831341,0.272908,0.346614
269829,02eb5b678ece8280,xclick,/m/09b5t,1,0.240625,0.615625,0.471875,0.998438,0,0,0,0,0,0.342187,0.240625,0.615625,0.525,0.471875,0.548438,0.753125,0.998438
284872,0323b4ee105739e3,xclick,/m/09b5t,1,0.0,0.963125,0.4425,0.9475,1,1,1,0,0,0.620625,0.0,0.95,0.963125,0.4425,0.518333,0.9475,0.6375
284873,0323b4ee105739e3,xclick,/m/09b5t,1,0.325,0.36875,0.445,0.488333,0,0,0,0,0,0.3325,0.325,0.354375,0.36875,0.445,0.453333,0.488333,0.453333
284874,0323b4ee105739e3,xclick,/m/09b5t,1,0.585,0.636875,0.753333,0.84,0,0,0,0,0,0.634375,0.61625,0.585,0.636875,0.753333,0.84,0.81,0.824167
284875,0323b4ee105739e3,xclick,/m/09b5t,1,0.935,0.966875,0.480833,0.575833,0,0,0,0,0,0.954375,0.935,0.94375,0.966875,0.480833,0.5275,0.575833,0.494167
287524,032d5699fcb80b3c,xclick,/m/09b5t,1,0.52125,0.775,0.345833,0.6475,1,0,0,0,0,0.5575,0.675,0.775,0.52125,0.345833,0.6475,0.510833,0.368333
287976,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.0,0.086022,0.211765,0.366176,1,1,0,0,0,0.069404,0.0,0.086022,0.005865,0.211765,0.276471,0.248529,0.366176
287977,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.0,0.243402,0.391176,0.702941,1,1,0,0,0,0.020528,0.0,0.243402,0.128055,0.391176,0.461765,0.458824,0.702941
287978,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.0,0.266862,0.545588,0.998529,1,1,0,0,0,0.043988,0.0,0.266862,0.246334,0.545588,0.763235,0.780882,0.998529
287979,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.002933,0.273705,0.316176,0.685294,1,0,0,0,0,0.045943,0.002933,0.273705,0.249267,0.316176,0.389706,0.514706,0.685294
287980,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.036168,0.163245,0.247059,0.413235,1,0,0,0,0,0.055718,0.036168,0.163245,0.092864,0.252941,0.283824,0.247059,0.413235
287981,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.086999,0.259042,0.226471,0.502941,1,0,0,0,0,0.225806,0.086999,0.259042,0.171065,0.226471,0.313235,0.263235,0.502941
287982,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.088954,0.258065,0.266176,0.502941,1,0,0,0,0,0.096774,0.088954,0.258065,0.172043,0.295588,0.345588,0.266176,0.502941
287983,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.146628,0.253177,0.170588,0.366176,1,0,0,0,0,0.241447,0.146628,0.253177,0.234604,0.170588,0.305882,0.270588,0.366176
287984,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.231672,0.345064,0.205882,0.420588,1,0,0,0,0,0.332356,0.231672,0.345064,0.278592,0.205882,0.325,0.327941,0.420588
287985,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.27957,0.403715,0.257353,0.595588,1,0,0,0,0,0.348974,0.27957,0.403715,0.370479,0.257353,0.358824,0.577941,0.595588
287986,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.329423,0.382209,0.180882,0.301471,1,0,0,0,0,0.376344,0.329423,0.382209,0.330401,0.180882,0.258824,0.258824,0.301471
287987,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.361681,0.455523,0.201471,0.388235,1,0,0,0,0,0.445748,0.361681,0.455523,0.366569,0.201471,0.288235,0.301471,0.388235
287988,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.388074,0.494624,0.223529,0.45,1,0,0,0,0,0.40567,0.388074,0.494624,0.44477,0.223529,0.348529,0.288235,0.45
287989,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.390029,0.599218,0.373529,0.673529,1,0,0,0,0,0.595308,0.390029,0.599218,0.550342,0.373529,0.522059,0.442647,0.673529
287990,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.423265,0.456501,0.205882,0.333824,1,0,0,0,0,0.454545,0.423265,0.456501,0.446725,0.205882,0.273529,0.302941,0.333824
287991,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.439883,0.504399,0.210294,0.319118,1,0,0,0,0,0.499511,0.445748,0.504399,0.439883,0.210294,0.288235,0.280882,0.319118
287992,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.451613,0.818182,0.661765,0.998529,0,1,0,0,0,0.486804,0.451613,0.818182,0.620723,0.661765,0.705882,0.814706,0.998529
287993,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.463343,0.542522,0.164706,0.322059,1,0,0,0,0,0.529814,0.463343,0.542522,0.523949,0.164706,0.229412,0.269118,0.322059
287994,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.642229,0.725318,0.272059,0.542647,1,0,0,0,0,0.669599,0.642229,0.725318,0.665689,0.272059,0.407353,0.432353,0.542647
287995,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.803519,0.907136,0.417647,0.702941,1,0,0,0,0,0.844575,0.803519,0.907136,0.875855,0.417647,0.479412,0.467647,0.702941
287996,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.807429,0.87781,0.288235,0.554412,1,0,0,0,0,0.820137,0.807429,0.87781,0.835777,0.288235,0.394118,0.419118,0.554412
287997,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.812317,0.999022,0.444118,0.998529,0,1,0,0,0,0.937439,0.882698,0.999022,0.812317,0.444118,0.497059,0.716176,0.998529
287998,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.83871,0.999022,0.311765,0.507353,1,0,0,0,0,0.871945,0.83871,0.999022,0.997067,0.311765,0.342647,0.397059,0.507353
287999,032f1b84e7df8ec1,xclick,/m/09b5t,1,0.878788,0.999022,0.439706,0.785294,1,1,0,0,0,0.945259,0.878788,0.999022,0.994135,0.439706,0.494118,0.536765,0.785294
288857,0332f8c0a4ef9946,activemil,/m/09b5t,1,0.516667,0.763889,0.189583,0.410417,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
292898,03448ba85249779d,xclick,/m/09b5t,1,0.030822,0.869863,0.115325,0.956656,0,0,0,0,0,0.585616,0.030822,0.519406,0.869863,0.115325,0.582817,0.956656,0.474458
